customer_id,signup_date,plan_type,monthly_charge,tenure_months,churn_flag,churn_date,churn_reason,usage_frequency,support_tickets_raised,last_login_date,payment_method,region,age_group,acquisition_channel,upsell_count,downsell_count,discount_applied,discount_pct,cohort_month,tenure_bucket,recency_days,frequency_per_month,historical_clv,clv_tier,signup_year_month,churn_month
C04304,2023-01-02,Standard,29.82,28,0,,billing,12.0,1.0,2025-05-23,Wallet,Latin America,25-34,Partnerships,5,0,1,0.028,2023-01-01,25-60,197,0.42857142857142855,811.58,High,2023-01,
C05838,2023-01-02,Standard,37.09,15,1,2024-02-12,billing,12.0,0.0,2024-01-19,Card,North America,35-44,Organic Search,5,0,1,0.066,2023-01-01,13-24,687,0.8,519.63,High,2023-01,2024-02-01
C06565,2023-01-02,Standard,38.78,28,0,,billing,9.0,2.0,2025-05-26,PayPal,APAC,25-34,Direct,5,0,1,0.038,2023-01-01,25-60,194,0.32142857142857145,1044.58,High,2023-01,
C07363,2023-01-02,Basic,21.08,14,1,2023-09-18,support issues,4.0,3.0,2023-08-26,Card,Europe,35-44,Email,4,0,1,0.07,2023-01-01,13-24,833,0.2857142857142857,274.46,Medium,2023-01,2023-09-01
C00279,2023-01-03,Standard,44.78,11,1,2023-11-06,billing,12.0,1.0,2023-10-02,Wallet,Latin America,35-44,Organic Search,4,0,1,0.15387499999999998,2023-01-01,7-12,796,1.0909090909090908,416.78,Medium,2023-01,2023-11-01
C01456,2023-01-03,Basic,15.63,27,0,,billing,7.0,0.0,2025-05-24,Card,APAC,35-44,Partnerships,5,0,1,0.017,2023-01-01,25-60,196,0.25925925925925924,414.84,Medium,2023-01,
C02331,2023-01-03,Basic,21.69,17,1,2024-05-30,billing,2.0,5.0,2024-04-22,PayPal,North America,55+,Paid Ads,1,0,1,0.15387499999999998,2023-01-01,13-24,593,0.11764705882352941,311.99,Medium,2023-01,2024-05-01
C03191,2023-01-03,Standard,42.46,29,0,,billing,14.0,1.0,2025-05-28,Card,North America,25-34,Direct,3,0,1,0.075,2023-01-01,25-60,192,0.4827586206896552,1138.99,High,2023-01,
C03798,2023-01-03,Basic,16.25,27,0,,billing,10.0,0.0,2025-05-18,PayPal,North America,55+,Organic Search,4,0,1,0.078,2023-01-01,25-60,202,0.37037037037037035,404.53,Medium,2023-01,
C04627,2023-01-03,Standard,43.24,19,1,2024-11-04,no usage,13.0,1.0,2024-09-03,PayPal,APAC,45-54,Partnerships,5,0,1,0.15387499999999998,2023-01-01,13-24,459,0.6842105263157895,695.14,High,2023-01,2024-11-01
C05462,2023-01-03,Basic,17.86,19,1,2024-01-20,billing,4.0,3.0,2023-12-14,Card,Europe,35-44,Partnerships,3,0,1,0.074,2023-01-01,13-24,723,0.21052631578947367,314.23,Medium,2023-01,2024-01-01
C06331,2023-01-03,Standard,41.66,27,0,,billing,14.0,3.0,2025-05-16,Card,North America,45-54,Paid Ads,2,1,1,0.042,2023-01-01,25-60,204,0.5185185185185185,1077.58,High,2023-01,
C06839,2023-01-03,Basic,16.07,27,0,,billing,8.0,0.0,2025-05-22,Card,Europe,55+,Referral,3,0,1,0.15387499999999998,2023-01-01,25-60,198,0.2962962962962963,367.13,Medium,2023-01,
C02321,2023-01-04,Premium,68.27,26,0,,billing,17.0,0.0,2025-05-23,Card,North America,35-44,Email,5,0,1,0.15387499999999998,2023-01-01,25-60,197,0.6538461538461539,1501.89,High,2023-01,
C02957,2023-01-04,Basic,24.6,26,0,,billing,2.0,0.0,2025-05-26,Card,Latin America,55+,Direct,0,0,1,0.024,2023-01-01,25-60,194,0.07692307692307693,624.25,High,2023-01,
C03035,2023-01-04,Standard,28.03,26,0,,billing,12.0,1.0,2025-05-30,PayPal,Europe,35-44,Partnerships,5,1,1,0.0,2023-01-01,25-60,190,0.46153846153846156,728.78,High,2023-01,
C03343,2023-01-04,Premium,60.01,20,1,2024-05-18,billing,18.0,1.0,2024-04-11,Card,Latin America,35-44,Partnerships,5,0,1,0.15387499999999998,2023-01-01,13-24,604,0.9,1015.52,High,2023-01,2024-05-01
C05966,2023-01-04,Standard,41.52,17,1,2023-12-25,price sensitivity,10.0,1.0,2023-11-30,Wallet,Europe,25-34,Direct,5,0,1,0.046,2023-01-01,13-24,737,0.5882352941176471,673.37,High,2023-01,2023-12-01
C06358,2023-01-04,Premium,70.21,29,0,,billing,15.0,0.0,2025-05-23,PayPal,North America,55+,Email,5,1,1,0.054,2023-01-01,25-60,197,0.5172413793103449,1926.14,High,2023-01,
C00414,2023-01-05,Basic,11.01,19,1,2024-11-16,no usage,8.0,2.0,2024-10-15,Card,Europe,35-44,Organic Search,3,1,1,0.072,2023-01-01,13-24,417,0.42105263157894735,194.13,Low,2023-01,2024-11-01
C00443,2023-01-05,Standard,42.31,25,0,,billing,9.0,0.0,2025-05-15,Card,North America,35-44,Paid Ads,1,0,1,0.004,2023-01-01,25-60,205,0.36,1053.52,High,2023-01,
C00670,2023-01-05,Standard,42.83,25,0,,billing,10.0,1.0,2025-05-27,ACH,Europe,55+,Partnerships,5,0,1,0.074,2023-01-01,25-60,193,0.4,991.51,High,2023-01,
C00846,2023-01-05,Premium,76.93,18,1,2023-10-23,billing,11.0,0.0,2023-10-05,Card,Europe,55+,Partnerships,3,0,1,0.15387499999999998,2023-01-01,13-24,793,0.6111111111111112,1171.66,High,2023-01,2023-10-01
C01645,2023-01-05,Standard,42.27,25,0,,billing,10.0,1.0,2025-05-20,Card,Latin America,35-44,Email,5,1,1,0.066,2023-01-01,25-60,200,0.4,987.0,High,2023-01,
C01926,2023-01-05,Premium,74.65,25,0,,billing,16.0,0.0,2025-05-26,Card,North America,18-24,Direct,5,1,1,0.102,2023-01-01,25-60,194,0.64,1675.89,High,2023-01,
C02431,2023-01-05,Basic,22.61,14,1,2024-01-13,billing,3.0,4.0,2023-04-12,Card,North America,45-54,Referral,2,3,1,0.017,2023-01-01,13-24,969,0.21428571428571427,311.16,Medium,2023-01,2024-01-01
C02628,2023-01-05,Premium,82.44,29,0,,billing,17.0,0.0,2025-05-30,Wallet,North America,25-34,Organic Search,4,0,1,0.047,2023-01-01,25-60,190,0.5862068965517241,2278.39,High,2023-01,
C03538,2023-01-05,Basic,13.82,16,1,2024-08-01,support issues,5.0,0.0,2024-07-14,Wallet,APAC,45-54,Organic Search,4,1,1,0.027,2023-01-01,13-24,510,0.3125,215.15,Medium,2023-01,2024-08-01
C05297,2023-01-05,Basic,16.04,21,1,2024-08-14,competitor,8.0,0.0,2024-07-21,PayPal,North America,25-34,Email,3,0,1,0.051,2023-01-01,13-24,503,0.38095238095238093,319.66,Medium,2023-01,2024-08-01
C06057,2023-01-05,Standard,40.83,22,1,2024-12-04,billing,9.0,2.0,2024-09-03,Card,North America,45-54,Referral,4,0,1,0.137,2023-01-01,13-24,459,0.4090909090909091,775.2,High,2023-01,2024-12-01
C06076,2023-01-05,Basic,21.36,29,0,,billing,8.0,2.0,2025-05-27,Card,Europe,55+,Paid Ads,3,0,1,0.028,2023-01-01,25-60,193,0.27586206896551724,602.1,High,2023-01,
C06229,2023-01-05,Basic,20.97,22,1,2023-09-26,competitor,8.0,1.0,2023-08-26,ACH,Europe,18-24,Direct,3,1,1,0.002,2023-01-01,13-24,833,0.36363636363636365,460.42,Medium,2023-01,2023-09-01
C06472,2023-01-05,Standard,42.65,25,0,,billing,10.0,1.0,2025-05-18,Card,North America,25-34,Referral,3,0,1,0.032,2023-01-01,25-60,202,0.4,1032.13,High,2023-01,
C06489,2023-01-05,Basic,22.17,22,1,2024-03-29,product dissatisfaction,4.0,3.0,2024-02-13,ACH,Europe,55+,Referral,3,1,1,0.02,2023-01-01,13-24,662,0.18181818181818182,477.99,Medium,2023-01,2024-03-01
C06579,2023-01-05,Basic,14.36,17,1,2024-02-17,no usage,6.0,4.0,2024-06-01,Card,Europe,25-34,Organic Search,2,0,1,0.064,2023-01-01,13-24,553,0.35294117647058826,228.5,Medium,2023-01,2024-02-01
C06599,2023-01-05,Basic,22.47,18,1,2024-09-30,support issues,13.0,2.0,2024-08-22,PayPal,North America,18-24,Referral,5,0,1,0.024,2023-01-01,13-24,471,0.7222222222222222,394.75,Medium,2023-01,2024-09-01
C00187,2023-01-06,Basic,22.53,15,1,2024-07-09,competitor,10.0,2.0,2024-05-30,ACH,North America,18-24,Organic Search,2,0,1,0.028,2023-01-01,13-24,555,0.6666666666666666,328.49,Medium,2023-01,2024-07-01
C00467,2023-01-06,Standard,41.32,17,1,2023-11-30,billing,9.0,4.0,2023-12-10,PayPal,North America,45-54,Email,5,1,1,0.014,2023-01-01,13-24,727,0.5294117647058824,692.61,High,2023-01,2023-11-01
C01078,2023-01-06,Basic,13.06,14,1,2024-10-07,product dissatisfaction,7.0,0.0,2024-06-21,Card,North America,35-44,Organic Search,2,0,1,0.15387499999999998,2023-01-01,13-24,533,0.5,154.71,Low,2023-01,2024-10-01
C02401,2023-01-06,Premium,73.89,19,1,2023-12-27,price sensitivity,11.0,4.0,2023-12-11,Card,Latin America,55+,Referral,2,0,1,0.05,2023-01-01,13-24,726,0.5789473684210527,1333.71,High,2023-01,2023-12-01
C02596,2023-01-06,Standard,40.67,24,0,,billing,7.0,0.0,2025-05-13,Card,North America,55+,Referral,1,0,1,0.02,2023-01-01,13-24,207,0.2916666666666667,956.56,High,2023-01,
C04055,2023-01-06,Basic,21.09,18,1,2023-11-15,billing,10.0,2.0,2023-10-14,Card,North America,25-34,Organic Search,2,0,1,0.143,2023-01-01,13-24,784,0.5555555555555556,325.33,Medium,2023-01,2023-11-01
C04367,2023-01-06,Standard,33.78,24,0,,billing,12.0,1.0,2025-05-30,PayPal,APAC,55+,Partnerships,4,0,1,0.02,2023-01-01,13-24,190,0.5,794.51,High,2023-01,
C04379,2023-01-06,Standard,41.57,14,1,2024-07-07,billing,7.0,3.0,2024-12-06,Card,Latin America,25-34,Paid Ads,1,0,1,0.15387499999999998,2023-01-01,13-24,365,0.5,492.43,High,2023-01,2024-07-01
C04885,2023-01-06,Basic,22.53,19,1,2023-07-12,billing,8.0,0.0,2023-11-14,Card,Europe,35-44,Paid Ads,2,0,1,0.06,2023-01-01,13-24,753,0.42105263157894735,402.39,Medium,2023-01,2023-07-01
C05176,2023-01-06,Standard,43.08,24,0,,billing,15.0,0.0,2025-05-17,ACH,North America,25-34,Referral,5,0,1,0.106,2023-01-01,13-24,203,0.625,924.32,High,2023-01,
C05381,2023-01-06,Basic,22.07,24,0,,billing,11.0,0.0,2025-05-28,PayPal,North America,45-54,Email,3,1,1,0.15387499999999998,2023-01-01,13-24,192,0.4583333333333333,448.18,Medium,2023-01,
C05620,2023-01-06,Standard,39.15,24,0,,billing,9.0,2.0,2025-05-25,Card,Latin America,35-44,Direct,4,0,1,0.15387499999999998,2023-01-01,13-24,195,0.375,795.02,High,2023-01,
C00104,2023-01-07,Basic,13.39,17,1,2024-01-31,competitor,9.0,2.0,2023-12-28,Card,North America,45-54,Direct,1,0,1,0.001,2023-01-01,13-24,709,0.5294117647058824,227.4,Medium,2023-01,2024-01-01
C01704,2023-01-07,Basic,20.84,13,1,2023-11-20,no usage,2.0,2.0,2023-10-22,PayPal,Europe,45-54,Paid Ads,3,0,1,0.15387499999999998,2023-01-01,13-24,776,0.15384615384615385,229.23,Medium,2023-01,2023-11-01
C02202,2023-01-07,Standard,44.76,29,0,,billing,12.0,1.0,2025-05-30,ACH,Latin America,25-34,Email,5,1,1,0.029,2023-01-01,25-60,190,0.41379310344827586,1260.4,High,2023-01,
C02511,2023-01-07,Premium,74.09,14,1,2023-11-12,billing,17.0,0.0,2023-11-24,ACH,Europe,35-44,Referral,5,0,1,0.141,2023-01-01,13-24,743,1.2142857142857142,891.01,High,2023-01,2023-11-01
C03024,2023-01-07,Premium,83.19125,17,1,2024-11-15,billing,15.0,0.0,2024-10-28,Card,APAC,55+,Organic Search,4,0,1,0.048,2023-01-01,13-24,404,0.8823529411764706,1346.37,High,2023-01,2024-11-01
C06915,2023-01-07,Basic,27.55,23,0,,billing,12.0,0.0,2025-05-23,Wallet,North America,25-34,Email,1,0,1,0.043,2023-01-01,13-24,197,0.5217391304347826,606.4,High,2023-01,
C06926,2023-01-07,Standard,40.91,29,0,,billing,14.0,2.0,2025-06-06,PayPal,North America,25-34,Referral,1,0,1,0.034,2023-01-01,25-60,183,0.4827586206896552,1146.05,High,2023-01,
C07218,2023-01-07,Premium,76.52,23,0,,billing,16.0,0.0,2025-05-30,Card,North America,35-44,Referral,5,0,1,0.05,2023-01-01,13-24,190,0.6956521739130435,1671.96,High,2023-01,
C00626,2023-01-08,Basic,17.77,20,1,2024-11-03,billing,11.0,0.0,2024-03-02,Card,North America,45-54,Referral,3,0,1,0.15387499999999998,2023-01-01,13-24,644,0.55,300.71,Medium,2023-01,2024-11-01
C00707,2023-01-08,Basic,22.61,16,1,2023-07-27,no usage,5.0,2.0,2023-06-25,Card,Latin America,45-54,Paid Ads,1,0,1,0.003,2023-01-01,13-24,895,0.3125,360.67,Medium,2023-01,2023-07-01
C01279,2023-01-08,Standard,53.18,16,1,2024-08-03,billing,9.0,2.0,2024-02-02,Card,Latin America,18-24,Direct,2,1,1,0.046,2023-01-01,13-24,673,0.5625,811.74,High,2023-01,2024-08-01
C02175,2023-01-08,Standard,35.24,22,0,,billing,10.0,3.0,2025-05-19,Card,Europe,25-34,Direct,2,1,1,0.079,2023-01-01,13-24,201,0.45454545454545453,714.03,High,2023-01,
C03399,2023-01-08,Standard,39.26,22,1,2024-02-18,price sensitivity,14.0,2.0,2024-02-14,Wallet,APAC,18-24,Referral,5,0,1,0.025,2023-01-01,13-24,661,0.6363636363636364,842.13,High,2023-01,2024-02-01
C04768,2023-01-08,Basic,23.25,23,1,2023-12-27,billing,6.0,3.0,2023-10-11,Card,Latin America,25-34,Organic Search,3,0,1,0.037,2023-01-01,13-24,787,0.2608695652173913,514.96,High,2023-01,2023-12-01
C05030,2023-01-08,Basic,14.87,21,1,2024-06-17,billing,8.0,2.0,2024-05-16,Wallet,North America,18-24,Paid Ads,4,1,1,0.15387499999999998,2023-01-01,13-24,569,0.38095238095238093,264.22,Medium,2023-01,2024-06-01
C05216,2023-01-08,Basic,20.66,15,1,2024-05-14,billing,4.0,3.0,2024-08-04,ACH,Latin America,45-54,Direct,5,2,1,0.004,2023-01-01,13-24,489,0.26666666666666666,308.66,Medium,2023-01,2024-05-01
C05694,2023-01-08,Basic,19.65,22,0,,billing,10.0,1.0,2025-05-26,Card,APAC,18-24,Referral,4,0,1,0.016,2023-01-01,13-24,194,0.45454545454545453,425.38,Medium,2023-01,
C06415,2023-01-08,Basic,27.85,22,0,,billing,5.0,1.0,2025-05-23,Card,North America,55+,Email,2,0,1,0.031,2023-01-01,13-24,197,0.22727272727272727,593.71,High,2023-01,
C07145,2023-01-08,Standard,44.05,13,1,2024-06-26,billing,13.0,0.0,2024-05-29,Card,North America,18-24,Direct,2,0,1,0.028,2023-01-01,13-24,556,1.0,556.62,High,2023-01,2024-06-01
C00292,2023-01-09,Standard,39.12,10,1,2024-03-31,billing,10.0,1.0,2024-02-19,PayPal,North America,45-54,Paid Ads,2,0,1,0.022,2023-01-01,7-12,656,1.0,382.59,Medium,2023-01,2024-03-01
C00618,2023-01-09,Standard,37.76,15,1,2024-05-10,price sensitivity,8.0,2.0,2024-08-26,Card,Latin America,35-44,Email,3,1,1,0.017,2023-01-01,13-24,467,0.5333333333333333,556.77,High,2023-01,2024-05-01
C02301,2023-01-09,Standard,26.4,21,0,,billing,15.0,0.0,2025-05-30,Card,North America,25-34,Referral,0,0,1,0.095,2023-01-01,13-24,190,0.7142857142857143,501.73,High,2023-01,
C03725,2023-01-09,Basic,17.59,29,0,,billing,9.0,1.0,2025-04-06,Card,North America,18-24,Direct,5,0,1,0.01,2023-01-01,25-60,244,0.3103448275862069,505.01,High,2023-01,
C05603,2023-01-09,Basic,22.35,16,1,2023-02-07,no usage,10.0,1.0,2023-02-06,Card,North America,35-44,Direct,4,0,1,0.05,2023-01-01,13-24,1034,0.625,339.72,Medium,2023-01,2023-02-01
C00263,2023-01-10,Premium,71.23,20,0,,billing,17.0,0.0,2025-05-13,Card,Europe,25-34,Referral,5,0,1,0.056,2023-01-01,13-24,207,0.85,1344.82,High,2023-01,
C01400,2023-01-10,Basic,17.84,9,1,2024-01-06,price sensitivity,10.0,2.0,2024-04-14,ACH,Europe,35-44,Email,5,2,1,0.034,2023-01-01,7-12,601,1.1111111111111112,155.1,Low,2023-01,2024-01-01
C01403,2023-01-10,Standard,40.31,20,0,,billing,13.0,2.0,2025-05-21,PayPal,North America,35-44,Partnerships,4,0,1,0.054,2023-01-01,13-24,199,0.65,762.67,High,2023-01,
C02833,2023-01-10,Standard,39.54,20,0,,billing,10.0,0.0,2025-05-21,Card,North America,18-24,Email,5,0,1,0.039,2023-01-01,13-24,199,0.5,759.96,High,2023-01,
C03799,2023-01-10,Basic,15.36,21,1,2024-12-05,competitor,7.0,3.0,2024-03-31,Card,Latin America,18-24,Partnerships,3,1,1,0.058,2023-01-01,13-24,615,0.3333333333333333,303.85,Medium,2023-01,2024-12-01
C03844,2023-01-10,Premium,70.99,9,1,2024-03-29,no usage,16.0,2.0,2024-02-21,PayPal,Latin America,25-34,Direct,3,0,1,0.018,2023-01-01,7-12,654,1.7777777777777777,627.41,High,2023-01,2024-03-01
C05737,2023-01-10,Standard,36.56,20,0,,billing,14.0,1.0,2025-05-25,Card,North America,18-24,Partnerships,5,0,1,0.037,2023-01-01,13-24,195,0.7,704.15,High,2023-01,
C06591,2023-01-10,Standard,43.5,29,0,,billing,12.0,1.0,2025-03-06,PayPal,North America,45-54,Partnerships,5,0,1,0.039,2023-01-01,25-60,275,0.41379310344827586,1212.3,High,2023-01,
C06830,2023-01-10,Basic,22.14,14,1,2024-02-26,no usage,8.0,1.0,2024-03-02,Card,APAC,25-34,Partnerships,2,1,1,0.037,2023-01-01,13-24,644,0.5714285714285714,298.49,Medium,2023-01,2024-02-01
C07394,2023-01-10,Basic,12.17,20,0,,billing,6.0,3.0,2025-05-30,PayPal,North America,18-24,Referral,3,1,1,0.007,2023-01-01,13-24,190,0.3,241.7,Medium,2023-01,
C00169,2023-01-11,Standard,37.43,19,0,,billing,8.0,1.0,2025-05-29,PayPal,APAC,45-54,Organic Search,3,0,1,0.033,2023-01-01,13-24,191,0.42105263157894735,687.7,High,2023-01,
C01069,2023-01-11,Standard,55.41,19,0,,billing,11.0,0.0,2025-05-19,Card,Europe,35-44,Partnerships,3,0,1,0.126,2023-01-01,13-24,201,0.5789473684210527,920.14,High,2023-01,
C01511,2023-01-11,Standard,44.13,19,0,,billing,18.0,0.0,2025-05-17,Card,APAC,18-24,Partnerships,5,0,1,0.032,2023-01-01,13-24,203,0.9473684210526315,811.64,High,2023-01,
C02160,2023-01-11,Basic,20.16,12,1,2024-09-15,billing,7.0,4.0,2024-07-31,ACH,North America,45-54,Direct,1,0,1,0.012,2023-01-01,7-12,493,0.5833333333333334,239.02,Medium,2023-01,2024-09-01
C03770,2023-01-11,Basic,18.76,12,1,2024-02-09,product dissatisfaction,4.0,1.0,2024-04-08,Card,North America,35-44,Paid Ads,2,0,1,0.15387499999999998,2023-01-01,7-12,607,0.3333333333333333,190.48,Low,2023-01,2024-02-01
C03904,2023-01-11,Basic,16.81,29,0,,billing,7.0,3.0,2025-05-28,PayPal,North America,45-54,Referral,4,1,1,0.073,2023-01-01,25-60,192,0.2413793103448276,451.9,Medium,2023-01,
C05468,2023-01-11,Premium,81.71,19,0,,billing,17.0,0.0,2025-05-23,ACH,North America,25-34,Referral,5,0,1,0.052,2023-01-01,13-24,197,0.8947368421052632,1471.76,High,2023-01,
C07335,2023-01-11,Basic,24.15,13,1,2024-11-27,competitor,5.0,2.0,2024-10-18,PayPal,Europe,25-34,Email,1,2,1,0.073,2023-01-01,13-24,414,0.38461538461538464,291.03,Medium,2023-01,2024-11-01
C00201,2023-01-12,Standard,37.0,18,0,,billing,11.0,0.0,2025-05-22,Card,APAC,35-44,Email,5,0,1,0.072,2023-01-01,13-24,198,0.6111111111111112,618.05,High,2023-01,
C00393,2023-01-12,Basic,16.58,16,1,2024-01-11,no usage,7.0,0.0,2024-10-14,Card,Europe,18-24,Paid Ads,3,1,1,0.057,2023-01-01,13-24,418,0.4375,250.16,Medium,2023-01,2024-01-01
C00630,2023-01-12,Basic,15.89,11,1,2024-03-31,billing,5.0,4.0,2024-01-02,Card,Latin America,18-24,Partnerships,0,1,1,0.011,2023-01-01,7-12,704,0.45454545454545453,172.87,Low,2023-01,2024-03-01
C01138,2023-01-12,Standard,36.5,13,1,2024-04-23,billing,13.0,2.0,2024-03-26,PayPal,Europe,25-34,Direct,2,0,1,0.008,2023-01-01,13-24,620,1.0,470.7,Medium,2023-01,2024-04-01
C02056,2023-01-12,Standard,32.03,14,1,2024-12-24,billing,11.0,4.0,2024-10-25,Wallet,North America,35-44,Email,5,0,1,0.15387499999999998,2023-01-01,13-24,407,0.7857142857142857,379.42,Medium,2023-01,2024-12-01
C03677,2023-01-12,Premium,71.2,18,0,,billing,15.0,1.0,2025-05-15,Card,Europe,18-24,Direct,5,0,1,0.15387499999999998,2023-01-01,13-24,205,0.8333333333333334,1084.39,High,2023-01,
C04093,2023-01-12,Basic,20.32,18,0,,billing,7.0,1.0,2025-05-17,ACH,Europe,25-34,Direct,1,0,1,0.029,2023-01-01,13-24,203,0.3888888888888889,355.15,Medium,2023-01,
C04738,2023-01-12,Basic,16.53,16,1,2024-07-07,no usage,8.0,5.0,2024-08-06,Card,Europe,35-44,Direct,4,0,1,0.104,2023-01-01,13-24,487,0.5,236.97,Medium,2023-01,2024-07-01
C05438,2023-01-12,Standard,27.19,29,0,,billing,9.0,1.0,2025-06-06,Card,North America,45-54,Direct,5,0,1,0.131,2023-01-01,25-60,183,0.3103448275862069,685.22,High,2023-01,
C06467,2023-01-12,Standard,43.2,18,0,,billing,11.0,2.0,2025-05-22,Wallet,Europe,55+,Direct,2,0,1,0.04,2023-01-01,13-24,198,0.6111111111111112,746.5,High,2023-01,
C06642,2023-01-12,Premium,65.69,29,0,,billing,14.0,0.0,2025-05-30,Card,Europe,55+,Direct,5,0,1,0.079,2023-01-01,25-60,190,0.4827586206896552,1754.51,High,2023-01,
C06670,2023-01-12,Standard,35.15,18,0,,billing,11.0,0.0,2025-05-24,Card,North America,35-44,Direct,5,0,1,0.049,2023-01-01,13-24,196,0.6111111111111112,601.7,High,2023-01,
C00410,2023-01-13,Basic,17.7,29,0,,billing,12.0,1.0,2025-05-31,Card,APAC,45-54,Referral,5,0,1,0.15387499999999998,2023-01-01,25-60,189,0.41379310344827586,434.32,Medium,2023-01,
C01121,2023-01-13,Standard,29.31,20,1,2024-07-15,price sensitivity,10.0,1.0,2024-01-07,PayPal,APAC,35-44,Paid Ads,1,0,1,0.018,2023-01-01,13-24,699,0.5,575.65,High,2023-01,2024-07-01
C04046,2023-01-13,Standard,33.95,29,0,,billing,13.0,0.0,2025-04-06,Wallet,North America,25-34,Organic Search,4,0,1,0.037,2023-01-01,25-60,244,0.4482758620689655,948.12,High,2023-01,
C04230,2023-01-13,Standard,30.02,29,0,,billing,13.0,2.0,2025-04-06,Card,North America,35-44,Organic Search,5,0,1,0.044,2023-01-01,25-60,244,0.4482758620689655,832.27,High,2023-01,
C00839,2023-01-14,Standard,45.96,29,0,,billing,9.0,3.0,2025-07-06,Card,North America,18-24,Paid Ads,4,0,1,0.15387499999999998,2023-01-01,25-60,153,0.3103448275862069,1127.75,High,2023-01,
C01038,2023-01-14,Standard,54.69,15,1,2024-02-01,billing,7.0,1.0,2023-02-12,Card,Latin America,35-44,Email,4,0,1,0.041,2023-01-01,13-24,1028,0.4666666666666667,786.72,High,2023-01,2024-02-01
C03103,2023-01-14,Standard,34.34,29,0,,billing,9.0,2.0,2025-06-10,PayPal,Europe,35-44,Organic Search,1,0,1,0.141,2023-01-01,25-60,179,0.3103448275862069,855.44,High,2023-01,
C04931,2023-01-14,Basic,20.35,29,0,,billing,10.0,1.0,2025-05-06,Card,APAC,35-44,Email,3,0,1,0.089,2023-01-01,25-60,214,0.3448275862068966,537.63,High,2023-01,
C06527,2023-01-14,Standard,33.35,29,0,,billing,12.0,0.0,2025-04-06,Wallet,Europe,45-54,Partnerships,5,0,1,0.057,2023-01-01,25-60,244,0.41379310344827586,912.02,High,2023-01,
C07489,2023-01-14,Standard,35.23,29,0,,billing,10.0,0.0,2025-04-06,Card,North America,45-54,Paid Ads,4,0,1,0.033,2023-01-01,25-60,244,0.3448275862068966,987.95,High,2023-01,
C00889,2023-01-15,Basic,13.03,14,1,2023-11-22,billing,8.0,5.0,2023-10-08,Wallet,APAC,18-24,Paid Ads,3,0,1,0.048,2023-01-01,13-24,790,0.5714285714285714,173.66,Low,2023-01,2023-11-01
C03136,2023-01-15,Premium,62.38,29,0,,billing,16.0,2.0,2025-03-06,Wallet,Latin America,45-54,Organic Search,5,0,1,0.056,2023-01-01,25-60,275,0.5517241379310345,1707.71,High,2023-01,
