customer_id,signup_date,plan_type,monthly_charge,tenure_months,churn_flag,churn_date,churn_reason,usage_frequency,support_tickets_raised,last_login_date,payment_method,region,age_group,acquisition_channel,upsell_count,downsell_count,discount_applied,discount_pct
C00055,2024-03-29,Basic,24.93,6,1,2024-06-09,billing,3,1.0,"May 21, 2024",Card,Latin America,25-34,Paid Ads,0,2,1,
C00056,02/09/2023,Basic,13.72,21,1,10/18/2024,billing,11,3.0,2024-10-10,Card,Europe,35-44,Referral,5,0,1,0.11
C00057,"May 13, 2024",Standard,34.3,8,1,2025-01-03,price sensitivity,14,0.0,20-12-2024,Card,North America,35-44,Partnerships,5,0,1,0.016
C00058,2023-05-21,Standard,36.62,19,1,07/29/2024,no usage,9,1.0,06/18/2024,Card,APAC,45-54,Organic Search,4,0,1,0.109
C00059,11/08/2024,Premium,75.66,7,0,,,18,0.0,"May 28, 2025",Card,North America,25-34,Partnerships,5,0,1,0.007
C00060,2024-09-14,Standard,50.05,9,0,,,14,0.0,2025-06-10,Card,North America,35-44,Referral,5,0,1,0.071
C00061,04/21/2025,Standard,33.41,2,1,06/04/2025,no usage,13,2.0,05/12/2025,Card,Europe,25-34,Direct,5,0,1,0.07
C00062,10-11-2024,Basic,14.47,7,1,2025-05-11,competitor,7,2.0,"Apr 15, 2025",ACH,Europe,18-24,Direct,2,0,1,0.162
C00063,"Dec 01, 2023",Standard,43.63,18,0,,,10,1.0,"May 28, 2025",Wallet,Europe,25-34,Email,3,0,1,0.064
C00064,06/01/2025,Basic,16.41,1,1,06/18/2025,product dissatisfaction,9,2.0,2025-06-01,Card,North America,18-24,Organic Search,1,1,1,0.075
C00065,01/10/2024,Standard,43.73,17,0,,,15,2.0,"Jun 02, 2025",Wallet,North America,25-34,Referral,4,0,1,0.075
C00066,2023-10-25,Basic,18.21,11,1,2024-02-22,competitor,8,1.0,2024-01-17,,North America,45-54,Email,4,1,1,0.087
C00067,05-04-2025,Standard,41.75,2,1,05/23/2025,no usage,13,0.0,"May 07, 2025",PayPal,North America,45-54,Direct,2,0,1,0.084
C00068,04-12-2023,Basic,12.73,9,1,2024-05-10,billing,6,1.0,2024-04-18,Card,North America,25-34,Organic Search,0,0,1,0.044
C00069,2023-03-11,Standard,41.73,27,0,,,12,0.0,2025-06-03,Card,Latin America,18-24,Direct,3,2,1,0.003
C00070,"Mar 04, 2024",Premium,81.18,15,0,,,20,0.0,2025-06-03,PayPal,North America,25-34,Partnerships,5,0,1,0.05
C00071,26-12-2024,Standard,37.47,6,1,06-03-2025,,5,1.0,2025-01-21,Card,North America,55+,Paid Ads,0,0,1,0.067
C00072,22-06-2023,Standard,31.6,24,0,,,6,1.0,14-06-2025,PayPal,North America,25-34,Direct,3,0,1,0.026
C00073,"Feb 27, 2024",Standard,40.3,16,0,,,12,1.0,"Jun 19, 2025",PayPal,Europe,25-34,Partnerships,5,0,1,0.072
C00074,2023-04-29,Basic,21.9,26,0,,,11,3.0,2025-06-24,Card,APAC,18-24,Referral,4,0,1,0.041
C00075,2024-09-18,Standard,35.81,9,1,24-02-2025,product dissatisfaction,10,1.0,2025-01-27,Card,North America,45-54,Organic Search,5,1,1,0.067
C00076,2024-03-09,Standard,35.93,15,0,,,15,0.0,"Jun 06, 2025",Card,North America,25-34,Referral,1,1,1,0.119
C00077,10/29/2023,Basic,22.18,14,1,11/23/2024,billing,8,1.0,"Nov 02, 2024",ACH,Latin America,18-24,Referral,5,0,1,0.228
C00078,2023-07-26,Basic,25.84,13,1,"Jul 09, 2024",billing,7,2.0,2024-06-17,ACH,North America,25-34,Paid Ads,1,1,1,0.067
C00079,29-05-2024,Premium,88.4,13,0,,,14,0.0,2025-06-28,ACH,APAC,35-44,Direct,5,0,1,0.069
C00080,2024-09-02,Standard,40.38,9,0,,,11,1.0,2025-05-23,Card,APAC,25-34,Referral,5,0,1,
C00081,"May 07, 2025",Standard,37.54,1,1,05/31/2025,no usage,13,2.0,"May 07, 2025",Wallet,Europe,55+,Partnerships,3,0,1,0.006
C00082,"Feb 03, 2024",Standard,38.83,16,0,,,12,0.0,25-05-2025,Card,APAC,45-54,Partnerships,5,1,1,0.065
C00083,05/27/2023,Basic,13.7,25,0,,,10,1.0,2025-06-17,Card,Europe,35-44,Partnerships,5,0,1,0.053
C00084,2025-01-29,Standard,38.07,5,0,,,10,2.0,,Card,Europe,55+,Referral,2,0,1,0.056
C00085,07/28/2024,Basic,23.48,8,1,10/29/2024,billing,8,1.0,2024-09-27,Card,North America,45-54,Organic Search,3,0,1,0.074
C00086,2024-09-30,Standard,39.24,9,0,,,10,1.0,"Jun 20, 2025",Card,North America,25-34,Direct,1,0,1,
C00087,03/30/2023,Standard,35.25,27,0,,,10,1.0,"Jun 15, 2025",Card,North America,45-54,Organic Search,5,0,1,0.06
C00088,2023-10-12,Basic,16.13,20,0,,,6,0.0,"Jun 11, 2025",Card,Europe,35-44,Referral,3,0,1,0.03
C00089,2024-12-01,Standard,38.81,6,1,"Apr 15, 2025",billing,9,0.0,03/26/2025,Card,Europe,35-44,Organic Search,0,1,1,0.048
C00090,29-01-2025,Basic,14.06,5,0,,,13,2.0,06/29/2025,Card,North America,35-44,Referral,5,0,1,0.19
C00091,2024-02-01,Standard,33.55,16,0,,,6,0.0,2025-05-24,Wallet,Europe,45-54,Direct,2,0,1,0.023
C00092,"Jan 03, 2025",Standard,48.2,3,1,2025-02-14,no usage,9,3.0,2025-01-05,Card,North America,55+,Paid Ads,4,0,1,0.049
C00093,"Feb 06, 2025",Standard,32.78,4,0,,,14,0.0,"May 25, 2025",Card,North America,25-34,Paid Ads,3,0,1,0.029
C00094,2023-12-20,Standard,34.19,6,1,03/18/2024,no usage,9,1.0,02/28/2024,Card,North America,35-44,Organic Search,1,0,1,0.2
C00095,30-03-2025,Premium,81.91,3,0,,,12,1.0,2025-06-24,Card,Latin America,35-44,Paid Ads,3,0,1,0.052
C00096,2023-09-20,Standard,36.35,21,0,,,10,2.0,2025-06-10,Card,Europe,55+,Referral,1,0,1,0.012
C00097,"Aug 07, 2023",Standard,39.53,22,0,,,12,0.0,06/04/2025,Card,Latin America,25-34,Partnerships,4,0,1,0.049
C00098,09/14/2024,Standard,44.18,9,0,,,13,1.0,2025-05-28,ACH,North America,25-34,Email,5,0,1,0.032
C00099,2024-08-03,Basic,12.81,10,0,,,7,3.0,2025-05-20,Card,Europe,25-34,Email,4,0,1,0.002
C00100,08-05-2023,Basic,22.02,25,0,,,14,1.0,2025-06-04,Card,APAC,18-24,Organic Search,5,0,1,0.028
C00101,2025-01-29,Standard,35.51,5,0,,,12,1.0,"Jun 16, 2025",Wallet,North America,18-24,Paid Ads,4,0,1,0.029
C00102,2023-07-02,Basic,17.86,23,0,,,6,0.0,"May 26, 2025",Card,Europe,25-34,Referral,1,0,1,0.018
C00103,2025-01-04,Basic,26.69,5,1,2025-03-09,billing,5,1.0,2025-02-15,Card,North America,18-24,Direct,4,0,1,0.013
C00104,"Jan 07, 2023",Basic,13.39,17,1,"Jan 31, 2024",competitor,9,2.0,12/28/2023,Card,North America,45-54,Direct,1,0,1,0.001
C00105,2024-12-27,Standard,42.54,6,0,,,10,0.0,06/18/2025,ACH,Europe,25-34,Partnerships,2,3,1,0.083
C00106,2024-12-18,Basic,23.51,5,1,12-02-2025,product dissatisfaction,10,4.0,2025-01-23,Card,North America,25-34,Referral,3,0,1,0.166
C00107,2024-12-12,Premium,72.16,6,1,04/08/2025,no usage,12,1.0,28-02-2025,Card,Europe,45-54,Referral,5,1,1,0.019
C00108,29-08-2024,Standard,34.99,7,1,2024-11-16,billing,11,1.0,23-10-2024,Card,APAC,25-34,Email,3,0,1,0.161
C00109,2024-03-06,Standard,36.79,15,0,,,11,1.0,31-05-2025,Card,North America,35-44,Organic Search,3,0,1,0.072
C00110,10/05/2024,Basic,16.24,6,1,03/05/2025,competitor,6,1.0,02/21/2025,Card,North America,45-54,Partnerships,5,0,1,0.077
C00111,2023-09-10,Standard,39.4,21,0,,,10,1.0,"May 29, 2025",Card,APAC,25-34,Direct,2,0,1,0.045
C00112,2024-12-13,Basic,22.57,3,1,02/06/2025,competitor,8,1.0,01/11/2025,Card,Europe,25-34,Organic Search,0,0,1,0.032
C00113,21-05-2024,Standard,36.82,13,0,,,10,1.0,2025-06-15,Card,APAC,25-34,Email,2,1,1,0.079
C00114,2024-02-23,Basic,22.71,13,1,2025-03-11,billing,8,1.0,02/15/2025,Wallet,North America,25-34,Partnerships,4,1,1,0.005
C00115,04/06/2024,Premium,93.01,14,0,,,17,0.0,2025-06-02,Card,Latin America,35-44,Partnerships,5,0,1,0.28
C00116,02-06-2024,Basic,20.72,9,1,"Feb 17, 2025",no usage,7,2.0,2025-01-02,Card,APAC,25-34,Organic Search,4,0,1,0.042
C00117,2023-02-03,Standard,42.15,28,0,,,13,3.0,2025-05-28,Card,North America,25-34,Organic Search,4,0,1,0.123
C00118,08-05-2023,Basic,16.62,18,1,2024-03-22,competitor,9,2.0,2024-02-25,ACH,APAC,35-44,Direct,2,0,1,
C00119,08/12/2023,Standard,23.26,22,0,,,12,1.0,2025-05-25,ACH,Latin America,18-24,Organic Search,4,0,1,0.196
C00120,"Apr 15, 2023",Standard,42.51,26,0,,,9,1.0,2025-06-10,Card,APAC,25-34,Organic Search,5,0,1,0.071
C00121,02/05/2024,Basic,22.19,9,1,2024-09-29,product dissatisfaction,9,1.0,12-09-2024,Card,North America,35-44,Paid Ads,4,0,1,0.026
C00122,2024-09-01,Basic,19.97,5,1,"Nov 30, 2024",product dissatisfaction,8,1.0,30-10-2024,,Europe,18-24,Organic Search,0,0,1,0.013
C00123,2024-08-19,Basic,22.64,4,1,16-11-2024,competitor,8,0.0,2024-10-30,Card,North America,35-44,Direct,0,2,1,0.073
C00124,2024-03-05,Basic,16.81,15,0,,,3,3.0,"May 21, 2025",Card,APAC,55+,Referral,0,0,1,0.106
C00125,"Feb 18, 2025",Premium,84.19,4,0,,,15,0.0,2025-06-17,Card,North America,45-54,Organic Search,5,0,1,0.073
C00126,"May 30, 2024",Basic,24.89,9,1,2024-11-18,support issues,9,2.0,"Oct 03, 2024",,North America,25-34,Referral,4,1,1,0.025
C00127,2023-03-14,Basic,21.66,20,1,2024-06-15,price sensitivity,9,1.0,05/21/2024,Card,APAC,25-34,Organic Search,2,0,1,0.009
C00128,2024-11-28,Premium,92.43,7,0,,,13,0.0,2025-06-17,Card,North America,35-44,Organic Search,4,0,1,0.051
C00129,06/08/2024,Basic,24.4,12,0,,,9,0.0,,Card,Europe,35-44,Referral,3,0,1,0.021
C00130,"Aug 01, 2024",Basic,14.11,10,1,2025-02-15,billing,2,3.0,"Dec 25, 2024",Card,North America,55+,Referral,0,3,1,0.073
C00131,2024-05-30,Standard,43.32,13,0,,,11,2.0,2025-06-22,Card,Latin America,35-44,Paid Ads,4,0,1,0.024
C00132,"May 19, 2024",Premium,72.68,11,1,"Oct 02, 2024",billing,15,1.0,09/11/2024,ACH,North America,25-34,Direct,2,0,1,0.023
C00133,2023-03-24,Standard,32.36,27,0,,,12,0.0,06/18/2025,Card,Europe,25-34,Paid Ads,5,0,1,0.258
C00134,2024-05-24,Standard,37.29,13,0,,,10,1.0,2025-06-17,Card,Europe,55+,Referral,2,0,1,0.03
C00135,"Dec 25, 2024",Premium,96.54,1,1,2025-01-21,no usage,13,,2025-01-11,Card,North America,35-44,Paid Ads,5,0,1,0.06
C00136,05-10-2023,Basic,16.82,20,0,,,13,2.0,04-06-2025,Wallet,North America,45-54,Direct,0,0,1,0.194
C00137,07/03/2024,Premium,61.42,6,1,12/22/2024,billing,12,1.0,2024-11-15,PayPal,North America,45-54,Referral,1,1,1,0.154
C00138,01/29/2023,Premium,64.55,29,0,,,12,0.0,06/11/2025,Card,Latin America,55+,Organic Search,4,0,1,0.052
C00139,2023-11-13,Premium,83.78,19,0,,,17,0.0,09-06-2025,ACH,North America,35-44,Direct,5,0,1,0.056
C00140,2024-02-03,Basic,15.96,11,1,2024-09-21,price sensitivity,8,2.0,08/17/2024,Card,North America,55+,Partnerships,0,0,1,0.097
C00141,06/15/2025,Basic,10.83,1,1,06/29/2025,competitor,5,0.0,2025-06-15,Card,North America,55+,Organic Search,0,0,1,0.011
C00142,2023-07-15,Standard,30.57,23,0,,,9,1.0,"Jun 07, 2025",Card,Europe,45-54,Direct,5,0,1,0.022
C00143,2023-09-10,Standard,40.0,21,0,,,5,3.0,2025-06-01,ACH,Latin America,55+,Partnerships,4,1,1,0.25
C00144,2024-01-08,Standard,43.68,17,0,,,16,0.0,2025-05-27,Wallet,Europe,35-44,Organic Search,5,0,1,0.292
C00145,06/24/2025,Premium,74.54,1,0,,,20,0.0,2025-06-24,ACH,APAC,45-54,Email,5,0,1,0.15
C00146,2025-02-17,Standard,42.89,4,0,,,14,0.0,2025-06-05,ACH,Latin America,35-44,Paid Ads,1,0,1,0.077
C00147,"Feb 01, 2023",Basic,22.66,17,1,2023-10-13,support issues,8,4.0,,Card,APAC,45-54,Direct,5,0,1,0.079
C00148,2023-08-02,Basic,15.87,11,1,2024-02-14,competitor,4,2.0,19-01-2024,Wallet,Latin America,45-54,Email,1,1,1,0.092
C00149,01/19/2025,Basic,18.52,5,1,2025-04-17,price sensitivity,6,1.0,2025-04-09,Card,North America,45-54,Email,2,0,1,0.064
C00150,2023-02-23,Basic,16.6,28,0,,,6,4.0,"Jun 14, 2025",Wallet,APAC,25-34,Referral,2,0,1,0.02
C00151,2025-02-19,Basic,21.16,4,1,2025-06-12,support issues,7,3.0,05/10/2025,Card,Latin America,45-54,Direct,3,0,1,0.049
C00152,09/14/2023,Premium,72.88,21,0,,,16,0.0,04-06-2025,Card,Europe,45-54,Paid Ads,5,0,1,0.021
C00153,"Apr 16, 2025",Standard,31.72,2,1,"Jun 09, 2025",support issues,12,1.0,2025-05-14,Card,North America,35-44,Paid Ads,2,0,1,0.065
C00154,25-09-2023,Standard,39.32,15,1,10/30/2024,support issues,7,1.0,"Sep 26, 2024",Card,North America,25-34,Partnerships,0,1,1,0.037
C00155,"Feb 01, 2024",Basic,23.44,16,0,,,8,3.0,2025-05-27,Card,Europe,45-54,Paid Ads,4,0,1,0.175
C00156,2024-08-26,Standard,42.06,10,0,,,12,0.0,18-06-2025,ACH,Europe,45-54,Partnerships,3,0,1,0.063
C00157,2023-04-26,Premium,89.07,26,0,,,14,1.0,06/24/2025,ACH,Latin America,25-34,Organic Search,5,0,1,0.034
C00158,2024-05-23,Premium,88.19,13,0,,,18,1.0,11-06-2025,Card,North America,35-44,Organic Search,5,1,1,0.079
C00159,05-04-2024,Standard,39.25,14,0,,,10,1.0,06/04/2025,Card,Europe,35-44,Organic Search,2,0,1,0.061
C00160,"Dec 15, 2024",Premium,73.03,6,0,,,18,1.0,,Card,North America,35-44,Referral,5,1,1,0.045
C00161,"Jun 27, 2025",Standard,33.78,1,0,,,12,0.0,"Jun 27, 2025",Card,North America,25-34,Organic Search,2,0,1,0.01
C00162,2024-08-28,Standard,29.48,5,1,2024-10-28,competitor,12,1.0,"Oct 12, 2024",Card,North America,25-34,Paid Ads,3,0,1,0.293
C00163,09-01-2024,Premium,90.9,15,1,12/12/2024,price sensitivity,10,0.0,11/15/2024,Card,APAC,55+,Email,5,0,1,0.289
C00164,"Jan 06, 2024",Basic,17.68,17,1,01/24/2025,product dissatisfaction,2,4.0,2024-12-20,PayPal,Europe,55+,Partnerships,2,0,1,0.068
C00165,"Jan 17, 2024",Basic,12.18,13,1,"Sep 10, 2024",billing,7,,08/04/2024,Card,APAC,25-34,Direct,4,0,1,0.224
C00166,"Jan 12, 2025",Basic,23.94,5,0,,,8,0.0,01-06-2025,ACH,Latin America,55+,Organic Search,3,0,1,0.218
C00167,2023-10-20,Standard,39.57,20,0,,,10,0.0,2025-06-09,Card,Latin America,25-34,Paid Ads,3,1,1,0.067
C00168,02-06-2023,Standard,44.81,24,0,,,11,3.0,2025-05-31,ACH,Europe,25-34,Direct,5,0,1,0.038
C00169,2023-11-01,Standard,37.43,19,0,,,8,1.0,2025-05-29,PayPal,APAC,45-54,Organic Search,3,0,1,0.033
C00170,01/21/2023,Standard,34.24,29,0,,,15,0.0,06/08/2025,Card,APAC,18-24,Referral,5,0,1,0.038
C00171,07-04-2023,Basic,20.78,17,1,2024-01-03,billing,2,2.0,2023-12-11,Card,Latin America,18-24,Email,3,0,1,0.024
C00172,2023-03-24,Premium,84.29,27,0,,,15,0.0,2025-06-08,PayPal,North America,55+,Organic Search,4,0,1,0.197
C00173,"Dec 04, 2024",Basic,17.88,3,1,15-02-2025,billing,0,3.0,"Jan 09, 2025",Card,Latin America,35-44,Email,0,1,1,0.02
C00174,2024-10-20,Premium,92.14,8,0,,,16,1.0,2025-06-15,Card,North America,25-34,Organic Search,5,0,1,0.143
C00175,2024-09-27,Basic,22.78,9,1,10-02-2025,billing,5,2.0,2025-01-12,Card,North America,35-44,Organic Search,0,0,1,0.006
C00176,2024-02-26,Standard,42.39,16,0,,,8,2.0,2025-06-18,Card,Latin America,35-44,Organic Search,2,0,1,0.031
C00177,2024-10-15,Standard,32.34,8,0,,,13,0.0,06/12/2025,Card,APAC,35-44,Email,4,1,1,0.243
C00178,"May 28, 2023",Premium,66.49,25,0,,,16,1.0,2025-06-21,Card,North America,25-34,Direct,5,0,1,0.056
C00179,"Apr 01, 2025",Basic,23.8,2,0,,,11,1.0,2025-05-31,Card,North America,25-34,Direct,4,0,1,0.027
C00180,2024-04-01,Premium,57.12,14,0,,,13,0.0,05/23/2025,Card,APAC,35-44,Paid Ads,4,0,1,0.042
C00181,2025-05-05,Standard,38.45,1,0,,,12,1.0,2025-06-01,PayPal,North America,35-44,Partnerships,1,0,1,0.067
C00182,19-05-2023,Standard,39.88,25,0,,,10,2.0,2025-06-04,Card,North America,55+,Referral,3,0,1,0.042
C00183,2024-03-29,Standard,36.06,15,0,,,10,1.0,24-06-2025,ACH,Latin America,25-34,Direct,5,0,1,0.251
C00184,2024-09-27,Basic,18.86,9,1,2025-04-13,billing,4,2.0,2025-03-14,Card,APAC,45-54,Direct,3,0,1,0.048
C00185,28-03-2024,Standard,41.52,11,1,"Jan 13, 2025",competitor,5,0.0,2024-12-18,Card,Europe,55+,Partnerships,2,0,1,0.078
C00186,"Feb 11, 2024",Basic,16.65,6,1,06/28/2024,competitor,7,1.0,2024-06-03,Card,Europe,25-34,Direct,1,1,1,0.046
C00187,06/01/2023,Basic,22.53,15,1,"Jul 09, 2024",competitor,10,2.0,2024-05-30,ACH,North America,18-24,Organic Search,2,0,1,0.028
C00188,"Dec 14, 2023",Standard,42.49,11,1,14-06-2024,competitor,9,0.0,06/08/2024,Card,North America,35-44,Partnerships,4,1,1,0.286
C00189,08/06/2023,Standard,37.92,17,1,07/27/2024,competitor,8,1.0,02-07-2024,Card,Latin America,55+,Paid Ads,1,0,1,0.05
C00190,2023-10-02,Basic,15.69,20,0,,,5,1.0,2025-05-19,Wallet,APAC,18-24,Email,4,0,1,0.116
C00191,2024-09-15,Basic,18.64,9,1,2025-05-11,support issues,6,3.0,"Apr 19, 2025",Card,North America,25-34,Paid Ads,1,0,1,0.15
C00192,2024-07-28,Basic,27.44,8,1,22-02-2025,competitor,8,0.0,27-01-2025,Card,North America,35-44,Organic Search,2,0,1,0.079
C00193,2024-07-07,Basic,15.97,11,1,07-05-2025,billing,6,2.0,08-04-2025,ACH,North America,45-54,Paid Ads,1,0,1,0.067
C00194,2023-11-26,Standard,48.18,9,1,"Mar 04, 2024",billing,15,1.0,2024-01-29,Card,North America,18-24,Referral,5,0,1,0.049
C00195,25-05-2025,Basic,11.98,1,1,2025-06-09,support issues,2,1.0,2025-05-25,ACH,North America,25-34,Paid Ads,0,0,1,0.061
C00196,2023-03-21,Premium,70.39,27,0,,,11,0.0,"Jun 13, 2025",Wallet,North America,25-34,Partnerships,3,0,1,0.012
